Metric,K=0 (queues),K=1 (queues),K=2 (queues),K=3 (queues),K=4 (queues),K=5 (queues),K=6 (queues),Unit
lambda_eff,5.454,6.477,6.993,7.343,7.639,7.864,8.033,car/hour
p_service,0.6009917355371901,0.7106649111257406,0.7822147651006711,0.8310321412403803,0.8346809440559441,0.8670341786108049,0.8843020695728754,probability
p_reject,0.39889807162534435,0.28944481018213736,0.21733780760626398,0.16896785875961973,0.16531905594405594,0.13296582138919516,0.11569793042712462,probability
p_busy_ko1,0.39793086492523216,0.2841023768510885,0.22390966384768057,0.19414389919213523,0.14563662598207947,0.1306985003509705,0.11907323092594374,probability
p_busy_ko2,0.4008511257485179,0.5724021941721604,0.6635969050411231,0.7058936094275473,0.7843438604284688,0.8025407411731756,0.8251557004960757,probability
n_columns_avg,1.199633116422268,1.4289067651954093,1.5511034739299268,1.6059311180472298,1.714324346839017,1.7357799826973217,1.769384631918095,cars
p_idle_ko1,0.3987725938511889,0.2792943735225273,0.22626581738208096,0.19375513634960184,0.14333044477536694,0.1313286427359579,0.11283293322885324,probability
p_idle_ko2,0.4015942897265429,0.29179886128206345,0.22263070868799228,0.2003137456031684,0.14234520838561604,0.1328913745667203,0.11778243485305162,probability
r_avg (queue length),0.0,0.28461760531667984,0.6661836789506637,1.0329879813768725,1.6324454516390352,2.029785700155951,2.462457302594948,cars
t_wait_avg,0.0,0.04394281385157941,0.09526436135430626,0.14067656017661345,0.21369884168595826,0.2581111012405838,0.30654267429291027,hour
t_service_avg,0.21995473348409755,0.2206124386591646,0.2218080185799981,0.21870231758780195,0.2244173775152529,0.22072481977331151,0.22026448797685735,hour
t_system_avg,0.21995473348409755,0.264555252510744,0.31707237993430437,0.3593788777644154,0.43811621920121113,0.47883592101389527,0.5268071622697676,hour
n_avg (total cars),1.199633116422268,1.713524370512089,2.2172871528805906,2.6389190994241023,3.3467697984780522,3.7655656828532726,4.231841934513043,cars
